Número de iteração,Tempo
1,0 days 00:00:00
2,0 days 00:00:00
3,0 days 00:00:00
4,0 days 00:00:00
5,0 days 00:00:00
6,0 days 00:00:00
7,0 days 00:00:00
8,0 days 00:00:00
9,0 days 00:00:00.001125
10,0 days 00:00:00
11,0 days 00:00:00
12,0 days 00:00:00
13,0 days 00:00:00
14,0 days 00:00:00.000941
15,0 days 00:00:00
16,0 days 00:00:00.000989
17,0 days 00:00:00.001993
18,0 days 00:00:00.002064
19,0 days 00:00:00.001950
20,0 days 00:00:00.005953
21,0 days 00:00:00.033970
22,0 days 00:00:00.004969
23,0 days 00:00:00.010676
24,0 days 00:00:00.048957
25,0 days 00:00:00.016017
26,0 days 00:00:00.085427
27,0 days 00:00:00.065837
28,0 days 00:00:00.120866
29,0 days 00:00:00.177831
30,0 days 00:00:00.276005
31,0 days 00:00:00.345097
32,0 days 00:00:00.566744
33,0 days 00:00:00.682854
34,0 days 00:00:00.993676
35,0 days 00:00:01.264705
36,0 days 00:00:01.945970
37,0 days 00:00:02.738976
38,0 days 00:00:03.831255
39,0 days 00:00:04.940221
40,0 days 00:00:07.923610
41,0 days 00:00:10.964916
42,0 days 00:00:13.887110
43,0 days 00:00:20.432435
44,0 days 00:00:28.498335
45,0 days 00:00:42.417081
46,0 days 00:01:15.406880
47,0 days 00:01:30.356142
48,0 days 00:05:23.064490
49,0 days 00:15:52.627324
50,0 days 00:45:31.925247
